,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
105,2022-12-26 00:00:00,1801.52,1832.77,1799.48,1812.36,1812.36,3663,3663,10.84,0.60171,1809.54,"December 26, 22",0.0060171
106,2022-12-23 00:00:00,1794.300049,1802.800049,1794.099976,1795.900024,1795.900024,49,49,1.59998,0.08916987,1797.6,"December 23, 22",0.0008916987
107,2022-12-22 00:00:00,1793.52,1803.01,1790,1798.19,1787,3478,411,4.67,0.26038,1796.12,"December 22, 22",0.0026038
108,2022-12-21 00:00:00,1814.8,1820.3,1784.3,1792.31,1815.900024,3632,35,-22.49,-1.24,1807.67,"December 21, 22",-0.0124
109,2022-12-20 00:00:00,1817.23,1823.3,1810.97,1814.79,1815.900024,3623,51,-2.44,-0.13427,1815.37,"December 20, 22",-0.0013427
110,2022-12-19 00:00:00,1786.99,1820.66,1784.1,1817.15,1787.699951,3625,79,30.16,1.69,1803.45,"December 19, 22",0.0169
111,2022-12-16 00:00:00,1777.900024,1791.400024,1777.900024,1790,1790,206,206,12.09998,0.68058,1786.43,"December 16, 22",0.0068058
112,2022-12-15 00:00:00,1776.09,1794.16,1774,1792.88,1777.199951,3431,421,16.79,0.94533,1783.54,"December 15, 22",0.0094533
113,2022-12-14 00:00:00,1807.58,1807.77,1773.42,1776.43,1807.5,3590,1074,-31.15,-1.72,1784.21,"December 14, 22",-0.0172
114,2022-12-13 00:00:00,1809.61,1813.37,1796.65,1807.6,1813.900024,3648,205,-2.01,-0.11107,1808.66,"December 13, 22",-0.0011107
115,2022-12-12 00:00:00,1781.93,1824.15,1780.2,1809.58,1780.5,3628,85,27.65,1.55,1795.79,"December 12, 22",0.0155
116,2022-12-09 00:00:00,1794.900024,1804.300049,1791.099976,1798.099976,1798.099976,125,125,3.19995,0.17828,1797.83,"December 09, 22",0.0017828
117,2022-12-08 00:00:00,1789.19,1805.92,1787.58,1797.06,1788.699951,3461,713,7.87,0.43986,1795.74,"December 08, 22",0.0043986
118,2022-12-07 00:00:00,1787.14,1794.58,1780.3,1789.1,1785.5,3622,422,1.96,0.10967,1786.03,"December 07, 22",0.0010967
119,2022-12-06 00:00:00,1770.71,1790.41,1767.91,1787.06,1769.300049,3609,105,16.35,0.92336,1777.05,"December 06, 22",0.0092336
120,2022-12-05 00:00:00,1768.91,1780.82,1766.1,1770.99,1767.400024,3619,1713,2.08,0.11759,1772.58,"December 05, 22",0.0011759
121,2022-12-02 00:00:00,1802,1802.300049,1779.400024,1795.900024,1795.900024,1725,1725,-6.09998,-0.33851,1792.53,"December 02, 22",-0.0033851
122,2022-12-01 00:00:00,1802.35,1802.73,1778.65,1797.72,1801.099976,3470,1053,-4.63,-0.25689,1796.38,"December 01, 22",-0.0025689
123,2022-11-30 00:00:00,1773.71,1804.32,1771.41,1802.18,1746,2532,3339,28.47,1.61,1790.9,"November 30, 22",0.0161
124,2022-11-29 00:00:00,1748.62,1773.35,1746.5,1773.35,1748.400024,3630,19416,24.73,1.41,1757.49,"November 29, 22",0.0141
125,2022-11-28 00:00:00,1740.86,1758.84,1739.31,1748.66,1740.099976,3550,132767,7.8,0.44805,1751.04,"November 28, 22",0.0044805
126,2022-11-25 00:00:00,1753,1757.900024,1749.199951,1753.300049,1753.300049,216,216,0.300049,0.01711631,1753.47,"November 25, 22",0.0001711631
127,2022-11-24 00:00:00,1755.64,1761.05,1745.2,1753.6,1753.6,2959,2959,-2.04,-0.1162,1753.45,"November 24, 22",-0.001162
128,2022-11-23 00:00:00,1752.7,1758.52,1751.2,1755.35,1744.900024,3230,39,2.65,0.1512,1755.43,"November 23, 22",0.001512
129,2022-11-22 00:00:00,1741.33,1752.96,1729.8,1752.07,1738.300049,3624,15,10.74,0.61677,1741.19,"November 22, 22",0.0061677
130,2022-11-21 00:00:00,1738.59,1749.48,1735.38,1741.09,1737.400024,3646,544,2.5,0.14379,1742.55,"November 21, 22",0.0014379
131,2022-11-18 00:00:00,1763.300049,1763.300049,1747.599976,1751.900024,1751.900024,414,414,-11.40002,-0.64652,1754.27,"November 18, 22",-0.0064652
132,2022-11-17 00:00:00,1760.26,1767.55,1746.5,1750.78,1760.800049,3468,18,-9.48,-0.53856,1758.98,"November 17, 22",-0.0053856
133,2022-11-16 00:00:00,1772.8,1774.53,1753.99,1759.85,1773,3628,303,-12.95,-0.73048,1763.36,"November 16, 22",-0.0073048
134,2022-11-15 00:00:00,1781.27,1784.89,1769.6,1773.84,1773.800049,3622,57,-7.43,-0.41712,1776.12,"November 15, 22",-0.0041712
135,2022-11-14 00:00:00,1769.62,1786.05,1766.5,1780.66,1773.599976,3623,358,11.04,0.62386,1773.91,"November 14, 22",0.0062386
136,2022-11-11 00:00:00,1763.800049,1766,1757.599976,1766,1766,257,257,2.19995,0.12473,1763.2,"November 11, 22",0.0012473
137,2022-11-10 00:00:00,1752.1,1772.15,1746.51,1770.24,1750.300049,3454,325,18.14,1.04,1759.49,"November 10, 22",0.0104
138,2022-11-09 00:00:00,1706.33,1756.98,1703.3,1751.31,1710.099976,3129,497,44.98,2.64,1727.72,"November 09, 22",0.0264
139,2022-11-08 00:00:00,1711.05,1721.12,1700.51,1706.3,1712.099976,3628,23,-4.75,-0.27761,1708.97,"November 08, 22",-0.0027761
140,2022-11-07 00:00:00,1674.08,1716.79,1664.61,1711.44,1676.5,3642,42,37.36,2.23,1685.43,"November 07, 22",0.0223
141,2022-11-04 00:00:00,1630.199951,1674.5,1629,1672.5,1672.5,159,159,42.30005,2.59,1658.67,"November 04, 22",0.0259
142,2022-11-03 00:00:00,1629.89,1681.57,1628.6,1680.3,1627.300049,3307,1427,50.41,3.09,1654.99,"November 03, 22",0.0309
143,2022-11-02 00:00:00,1632.8,1640.76,1616.21,1629.67,1645.699951,3638,612,-3.13,-0.1917,1629.45,"November 02, 22",-0.001917
144,2022-11-01 00:00:00,1646.8,1669.17,1631.01,1633.75,1645,3650,985,-13.05,-0.79245,1648.86,"November 01, 22",-0.0079245
145,2022-10-31 00:00:00,1631.31,1656.93,1630.45,1646.76,1635.900024,3630,522,15.45,0.94709,1644.93,"October 31, 22",0.0094709
146,2022-10-28 00:00:00,1661,1661,1638.699951,1639.599976,1639.599976,626,626,-21.40002,-1.29,1646.43,"October 28, 22",-0.0129
147,2022-10-27 00:00:00,1662.02,1666.9,1637.34,1643.7,1660.699951,3302,2298,-18.32,-1.1,1651.33,"October 27, 22",-0.011
148,2022-10-26 00:00:00,1667.17,1670.71,1654.5,1661.74,1664,3601,89,-5.43,-0.3257,1662.57,"October 26, 22",-0.003257
149,2022-10-25 00:00:00,1652.67,1674.81,1648.26,1667.22,1652.800049,3526,880,14.55,0.88039,1663.45,"October 25, 22",0.0088039
150,2022-10-24 00:00:00,1651.58,1660.95,1637.78,1652.73,1648.699951,3599,29,1.15,0.06963029,1650.06,"October 24, 22",0.0006963029
151,2022-10-21 00:00:00,1634.099976,1653.900024,1634.099976,1651,1651,224,224,16.90002,1.03,1646.33,"October 21, 22",0.0103
152,2022-10-20 00:00:00,1627.29,1657.68,1617.47,1656.6,1630.800049,3317,477,29.31,1.8,1632.89,"October 20, 22",0.018
153,2022-10-19 00:00:00,1627.27,1645.31,1621.61,1626.89,1627.5,3489,84,-0.38,-0.02335199,1631.03,"October 19, 22",-0.0002335199
154,2022-10-18 00:00:00,1652.42,1653.35,1626,1627.17,1649,3623,597,-25.25,-1.53,1637.82,"October 18, 22",-0.0153
155,2022-10-17 00:00:00,1650.83,1660.71,1645.7,1652.32,1657,3610,238,1.49,0.09025763,1652.47,"October 17, 22",0.0009025763
156,2022-10-14 00:00:00,1665.300049,1667,1640,1641.699951,1641.699951,82,82,-23.6001,-1.42,1649.57,"October 14, 22",-0.0142
